Date,Open,High,Low,Close,Volume,MOM,Decis_macd,Decis_ema,Decis_cci,Decis_roc,Decis_wpr,Decis_atr
2015-07-10,510.0,516.0,510.0,512.0,1117400.0,-10.0,2,2,1,0,0,8
2015-07-13,512.0,514.0,510.0,512.0,1094300.0,-10.0,2,2,1,0,0,8
2015-07-14,512.0,514.0,508.0,510.0,1092600.0,-8.0,2,2,1,0,0,8
2015-07-15,512.0,516.0,510.0,510.0,729400.0,-10.0,2,2,0,0,0,7
2015-07-16,512.0,518.0,510.0,514.0,1568800.0,-8.0,2,2,0,0,0,8
2015-07-17,514.0,514.0,512.0,514.0,660900.0,-6.0,1,2,0,0,0,7
2015-07-20,514.0,516.0,512.0,512.0,539000.0,-4.0,1,2,0,0,0,7
2015-07-21,514.0,514.0,508.0,510.0,918800.0,-6.0,1,2,0,0,0,7
2015-07-22,510.0,520.0,510.0,516.0,1384600.0,8.0,1,2,0,0,0,7
2015-07-23,516.0,520.0,516.0,520.0,1088600.0,10.0,1,2,0,0,1,7
2015-07-24,518.0,520.0,510.0,516.0,1091400.0,4.0,1,2,0,0,0,7
2015-07-27,512.0,512.0,498.0,506.0,2147000.0,-6.0,1,2,0,0,0,8
2015-07-28,506.0,510.0,504.0,510.0,911600.0,0.0,1,2,1,0,0,8
2015-07-29,508.0,520.0,506.0,516.0,1598000.0,6.0,1,2,0,0,1,8
2015-07-31,520.0,528.0,518.0,526.0,2152700.0,12.0,1,2,0,0,1,9
2015-08-03,526.0,526.0,518.0,522.0,1356900.0,8.0,1,2,0,0,0,9
2015-08-04,524.0,530.0,520.0,526.0,1643000.0,14.0,1,2,0,0,1,9
2015-08-05,530.0,530.0,524.0,528.0,1099600.0,18.0,1,1,0,0,1,9
2015-08-06,530.0,532.0,526.0,530.0,1548900.0,14.0,1,1,0,0,1,9
2015-08-07,526.0,528.0,522.0,522.0,994400.0,2.0,1,1,0,0,0,9
2015-08-10,516.0,520.0,516.0,516.0,569400.0,0.0,1,1,0,0,0,8
2015-08-11,520.0,524.0,520.0,520.0,2383600.0,14.0,1,1,0,0,0,8
2015-08-13,516.0,522.0,508.0,522.0,2215300.0,12.0,1,1,0,0,0,9
2015-08-14,524.0,526.0,520.0,520.0,889700.0,4.0,1,1,0,0,0,9
2015-08-17,524.0,528.0,520.0,520.0,775900.0,-6.0,1,1,0,0,0,9
2015-08-18,514.0,520.0,508.0,518.0,2980300.0,-4.0,2,1,0,0,0,9
2015-08-19,516.0,522.0,514.0,520.0,719300.0,-6.0,2,1,0,0,0,9
2015-08-20,516.0,522.0,514.0,516.0,1466000.0,-12.0,2,2,1,0,0,9
